continue_drop,student_id,gender,caste,mathematics_marks,english_marks,science_marks,science_teacher,languages_teacher,guardian,internet,school_id,total_students,total_toilets,establishment_year
continue,s04943,F,BC,0.569,0.455,0.569,2,9,father,TRUE,00369,387,28,1921
continue,s04944,F,OC,0.681,0.849,0.681,4,10,mother,TRUE,00334,571,61,1924
continue,s04945,F,BC,0.461,0.379,0.461,6,6,father,FALSE,00386,220,30,1847
continue,s04946,F,BC,0.511,0.6,0.511,3,9,mother,TRUE,00365,444,14,1970
continue,s04947,F,SC,0.896,0.859,0.896,8,3,father,TRUE,00332,93,14,1880
drop,s04948,F,BC,0.408,0.798,0.408,9,5,mother,TRUE,00337,185,15,1975
continue,s04949,F,SC,0.163,0.48,0.163,4,6,mother,TRUE,00367,128,14,1969
continue,s04950,M,SC,0.649,0.411,0.649,5,6,mother,TRUE,00323,344,28,1961
continue,s04951,M,SC,0.442,0.643,0.442,8,4,father,TRUE,00341,430,44,1959
continue,s04952,M,SC,0.694,0.265,0.694,3,2,mother,TRUE,00323,344,28,1961
continue,s04953,M,SC,0.699,0.353,0.699,3,12,mother,TRUE,00305,354,86,1986
continue,s04954,M,SC,0.511,0.403,0.511,4,5,mother,FALSE,00312,257,14,1946
continue,s04955,M,BC,0.301,0.146,0.301,4,10,mother,TRUE,00339,245,14,1840
continue,s04956,M,SC,0.659,0.347,0.659,8,8,mother,TRUE,00307,177,15,1926
continue,s04957,M,OC,0.226,0.173,0.226,4,5,father,FALSE,00344,220,71,1910
continue,s04958,M,SC,0.551,0.277,0.551,2,10,father,TRUE,00342,295,18,1907
continue,s04959,M,SC,0.437,0.442,0.437,0,3,mother,TRUE,00319,96,4,1999
drop,s04960,M,ST,0.749,1.01,0.749,4,6,father,TRUE,00300,198,28,1913
continue,s04961,M,OC,0.478,0.642,0.478,4,0,father,TRUE,00397,221,15,1915
continue,s04962,M,OC,0.323,0.429,0.323,2,7,mother,TRUE,00333,335,43,1916
continue,s04963,M,BC,0.633,0.885,0.633,6,2,mother,TRUE,00338,145,2,1929
continue,s04964,M,SC,0.337,0.283,0.337,2,6,other,TRUE,00354,184,NA,NA
continue,s04965,M,BC,0.344,0.351,0.344,6,0,other,TRUE,00337,185,15,1975
continue,s04966,M,BC,0.183,0.077,0.183,4,6,mother,FALSE,00376,68,15,1918
continue,s04967,F,SC,0.409,0.514,0.409,6,0,mother,TRUE,00376,68,15,1918
continue,s04968,F,BC,0.29,0.512,0.29,4,7,mother,TRUE,00311,209,14,1976
continue,s04969,F,OC,0.602,0.666,0.602,4,2,mother,FALSE,00380,228,15,1918
continue,s04970,F,BC,0.378,0.526,0.378,8,7,mother,TRUE,00341,430,44,1959
continue,s04971,F,OC,0.536,0.614,0.536,9,4,other,TRUE,00380,228,15,1918
continue,s04972,F,BC,0.594,0.519,0.594,4,8,mother,TRUE,00392,469,14,1905
continue,s04973,F,OC,0.177,0.525,0.177,6,7,father,TRUE,00383,132,14,1996
continue,s04974,F,OC,0.48,0.457,0.48,2,9,mother,TRUE,00319,96,4,1999
continue,s04975,F,OC,0.821,0.728,0.821,2,2,father,TRUE,00323,344,28,1961
continue,s04976,F,BC,0.418,0.322,0.418,8,10,father,FALSE,00396,129,21,2006
continue,s04977,F,OC,0.757,0.664,0.757,8,6,mother,TRUE,00304,390,28,1914
continue,s04978,F,OC,0.133,0.566,0.133,2,2,mother,TRUE,00331,516,15,1996
continue,s04979,F,SC,0.566,0.495,0.566,0,4,father,TRUE,00349,132,28,2003
continue,s04980,F,BC,0.413,0.598,0.413,1,6,father,TRUE,00328,356,14,1943
continue,s04981,F,BC,0.461,0.524,0.461,0,3,mother,TRUE,00332,93,14,1880
continue,s04982,F,OC,0.742,0.672,0.742,3,12,mother,TRUE,00334,571,61,1924
drop,s04983,F,BC,0.503,0.523,0.503,9,0,father,TRUE,00331,516,15,1996
continue,s04984,F,OC,0.32,0.408,0.32,9,6,mother,TRUE,00380,228,15,1918
continue,s04985,F,SC,0.306,0.485,0.306,5,6,father,FALSE,00302,191,2,1948
continue,s04986,F,BC,0.107,0.507,0.107,7,5,father,TRUE,00362,397,5,1950
continue,s04987,F,ST,0.38,0.426,0.38,9,4,mother,TRUE,00302,191,2,1948
continue,s04988,F,BC,0.746,0.669,0.746,3,6,mother,TRUE,00305,354,86,1986
drop,s04989,F,ST,0.681,0.758,0.681,5,3,mother,TRUE,00304,390,28,1914
continue,s04990,F,SC,0.895,0.615,0.895,4,0,mother,TRUE,00315,280,1,1923
continue,s04991,F,BC,0.132,0.759,0.132,4,0,mother,TRUE,00387,113,4,2014
continue,s04992,F,BC,0.456,0.46,0.456,2,12,mother,TRUE,00331,516,15,1996
continue,s04993,F,BC,0.444,0.574,0.444,4,0,father,TRUE,00362,397,5,1950
continue,s04994,F,SC,0.304,0.556,0.304,9,10,father,TRUE,00346,87,30,1967
continue,s04995,F,OC,0.362,0.703,0.362,0,5,mother,TRUE,00334,571,61,1924
continue,s04996,F,SC,0.519,0.663,0.519,8,0,mother,TRUE,00352,177,28,1905
continue,s04997,F,BC,0.779,0.701,0.779,4,2,mother,TRUE,00334,571,61,1924
continue,s04998,F,BC,0.567,0.558,0.567,8,2,mother,TRUE,00392,469,14,1905
continue,s04999,F,BC,0.391,0.533,0.391,5,0,mother,TRUE,00397,221,15,1915
continue,s05000,F,BC,0.355,0.373,0.355,7,4,mother,TRUE,00359,305,44,1915
continue,s05001,F,SC,0.38,0.611,0.38,3,10,mother,TRUE,00348,80,14,1871
continue,s05002,F,BC,0.304,0.474,0.304,0,2,mother,TRUE,00341,430,44,1959
continue,s05003,F,ST,0.599,0.677,0.599,1,2,mother,TRUE,00329,275,60,1914
continue,s05004,F,BC,0.449,0.475,0.449,3,5,father,TRUE,00341,430,44,1959
continue,s05005,F,ST,0.563,0.626,0.563,2,6,mother,TRUE,00325,97,43,1842
continue,s05006,F,BC,0.412,0.588,0.412,6,6,father,TRUE,00361,287,15,1992
continue,s05007,F,SC,0.566,0.855,0.566,4,5,mother,FALSE,00304,390,28,1914
continue,s05008,F,SC,0.366,0.625,0.366,6,8,mother,TRUE,00363,148,28,1895
continue,s05009,F,SC,0.625,0.656,0.625,4,4,mother,TRUE,00305,354,86,1986
drop,s05010,F,OC,0.301,0.467,0.301,6,5,mother,TRUE,00372,99,14,1956
continue,s05011,F,SC,0.08,0.411,0.08,6,10,other,TRUE,00351,251,100,1924
drop,s05012,F,BC,0.623,0.699,0.623,6,0,father,TRUE,00320,384,28,1909
continue,s05013,F,BC,0.443,0.601,0.443,0,6,mother,FALSE,00342,295,18,1907
continue,s05014,F,SC,0.475,0.596,0.475,2,6,father,TRUE,00376,68,15,1918
drop,s05015,F,BC,0.157,0.674,0.157,1,8,mother,TRUE,00394,122,15,1889
continue,s05016,F,BC,0.389,0.537,0.389,3,8,mother,FALSE,00322,179,8,1955
continue,s05017,F,SC,0.661,0.406,0.661,5,11,mother,TRUE,00331,516,15,1996
continue,s05018,F,BC,0.656,0.319,0.656,4,6,mother,TRUE,00304,390,28,1914
continue,s05019,F,BC,0.229,0.6,0.229,5,4,mother,TRUE,00362,397,5,1950
continue,s05020,F,SC,0.283,0.478,0.283,1,10,mother,TRUE,00342,295,18,1907
continue,s05021,F,OC,0.64,0.636,0.64,2,4,mother,TRUE,00374,207,28,1896
continue,s05022,F,BC,0.662,0.632,0.662,3,3,mother,TRUE,00370,272,1,1961
continue,s05023,F,BC,0.351,0.464,0.351,5,4,mother,TRUE,00312,257,14,1946
continue,s05024,F,SC,0.48,0.546,0.48,4,8,mother,FALSE,00334,571,61,1924
continue,s05025,F,BC,0.544,0.597,0.544,5,5,mother,TRUE,00342,295,18,1907
continue,s05026,F,BC,0.779,0.625,0.779,8,9,mother,TRUE,00319,96,4,1999
continue,s05027,F,OC,0.299,0.445,0.299,1,4,mother,TRUE,00302,191,2,1948
drop,s05028,F,BC,0.551,0.82,0.551,4,9,mother,TRUE,00304,390,28,1914
continue,s05029,F,SC,0.417,0.535,0.417,3,7,father,FALSE,00382,470,71,1896
continue,s05030,F,BC,0.398,0.393,0.398,3,10,mother,TRUE,00363,148,28,1895
continue,s05031,F,ST,0.393,0.685,0.393,4,6,mother,FALSE,00385,193,2,1989
continue,s05032,F,BC,0.519,0.432,0.519,0,0,mother,TRUE,00315,280,1,1923
continue,s05033,F,OC,0.206,0.478,0.206,3,7,mother,TRUE,00352,177,28,1905
continue,s05034,F,SC,0.708,0.949,0.708,1,6,father,TRUE,00376,68,15,1918
continue,s05035,F,OC,0.777,0.767,0.777,0,5,mother,TRUE,00365,444,14,1970
continue,s05036,F,SC,0.544,0.563,0.544,2,7,mother,TRUE,00328,356,14,1943
continue,s05037,F,SC,0.863,0.738,0.863,4,6,mother,TRUE,00315,280,1,1923
continue,s05038,F,BC,0.39,0.511,0.39,4,10,mother,TRUE,00378,121,28,1971
continue,s05039,F,BC,0.352,0.569,0.352,2,7,mother,TRUE,00359,305,44,1915
continue,s05040,F,BC,0.59,0.576,0.59,4,6,mother,TRUE,00329,275,60,1914
continue,s05041,F,BC,0.757,0.882,0.757,6,7,mother,TRUE,00395,60,45,1860
continue,s05042,F,BC,0.744,0.899,0.744,4,3,mother,TRUE,00331,516,15,1996
continue,s05043,F,OC,0.639,0.614,0.639,4,0,mother,TRUE,00313,399,14,1916
continue,s05044,F,SC,0.55,0.679,0.55,7,0,mother,TRUE,00343,353,15,1957
continue,s05045,F,OC,0.67,0.793,0.67,4,5,mother,TRUE,00302,191,2,1948
continue,s05046,F,SC,0.584,0.536,0.584,2,10,mother,TRUE,00311,209,14,1976
continue,s05047,F,SC,0.687,0.483,0.687,6,10,mother,TRUE,00339,245,14,1840
continue,s05048,F,ST,0.434,0.611,0.434,2,5,father,TRUE,00334,571,61,1924
continue,s05049,F,BC,0.336,0.448,0.336,6,10,mother,FALSE,00397,221,15,1915
continue,s05050,F,SC,0.443,0.424,0.443,4,0,father,TRUE,00336,206,17,1940
continue,s05051,F,ST,0.51,0.44,0.51,2,0,mother,TRUE,00369,387,28,1921
continue,s05052,F,BC,0.653,0.572,0.653,5,6,mother,TRUE,00310,262,28,1985
continue,s05053,F,BC,0.586,0.648,0.586,4,9,father,TRUE,00305,354,86,1986
continue,s05054,F,BC,0.347,0.538,0.347,4,5,father,FALSE,00335,87,14,1886
continue,s05055,F,BC,0.542,0.767,0.542,1,5,mother,TRUE,00336,206,17,1940
continue,s05056,F,ST,0.819,0.798,0.819,8,6,mother,TRUE,00313,399,14,1916
continue,s05057,F,ST,0.676,0.764,0.676,0,5,mother,TRUE,00312,257,14,1946
continue,s05058,F,BC,0.416,0.533,0.416,0,4,mother,TRUE,00302,191,2,1948
continue,s05059,F,SC,0.495,0.741,0.495,0,3,mother,TRUE,00326,177,17,1986
continue,s05060,F,OC,0.576,0.667,0.576,7,3,mother,FALSE,00314,286,28,1903
continue,s05061,F,OC,0.277,0.465,0.277,0,3,mother,TRUE,00365,444,14,1970
continue,s05062,F,SC,0.401,0.538,0.401,2,1,mother,TRUE,00378,121,28,1971
continue,s05063,F,SC,0.626,0.751,0.626,5,4,father,TRUE,00353,359,8,1986
continue,s05064,F,OC,0.413,0.831,0.413,8,3,father,TRUE,00349,132,28,2003
continue,s05065,F,BC,0.328,0.547,0.328,3,6,mother,TRUE,00369,387,28,1921
continue,s05066,F,BC,0.503,0.446,0.503,4,4,mother,TRUE,00369,387,28,1921
continue,s05067,F,BC,0.948,0.939,0.948,4,4,mother,FALSE,00302,191,2,1948
continue,s05068,F,BC,0.404,0.532,0.404,0,7,mother,FALSE,00382,470,71,1896
continue,s05069,F,SC,0.666,0.727,0.666,4,6,mother,TRUE,00310,262,28,1985
continue,s05070,F,SC,0.235,0.483,0.235,1,7,father,TRUE,00333,335,43,1916
continue,s05071,F,BC,0.347,0.643,0.347,1,6,mother,TRUE,00312,257,14,1946
drop,s05072,F,OC,0.64,0.711,0.64,8,10,mother,TRUE,00340,134,15,1976
continue,s05073,F,BC,0.284,0.558,0.284,1,10,mother,FALSE,00349,132,28,2003
continue,s05074,F,SC,0.227,0.432,0.227,8,5,father,TRUE,00388,155,1,1910
continue,s05075,F,SC,0.148,0.479,0.148,4,5,mother,FALSE,00341,430,44,1959
continue,s05076,F,ST,0.389,0.582,0.389,4,6,mother,TRUE,00328,356,14,1943
continue,s05077,F,BC,0.482,0.698,0.482,5,2,mother,FALSE,00387,113,4,2014
continue,s05078,F,BC,0.613,0.696,0.613,1,2,mother,TRUE,00360,273,2,1995
continue,s05079,F,BC,0.5,0.544,0.5,1,5,mother,TRUE,00328,356,14,1943
continue,s05080,F,BC,0.474,0.562,0.474,9,4,mother,TRUE,00318,54,17,1867
continue,s05081,F,OC,0.46,0.635,0.46,1,10,mother,FALSE,00322,179,8,1955
continue,s05082,F,SC,0.357,0.573,0.357,6,6,father,FALSE,00313,399,14,1916
continue,s05083,F,BC,0.531,0.778,0.531,8,4,mother,TRUE,00364,147,28,1911
continue,s05084,F,BC,0.79,0.865,0.79,0,10,father,FALSE,00328,356,14,1943
continue,s05085,F,SC,0.684,0.848,0.684,8,6,father,TRUE,00359,305,44,1915
continue,s05086,F,OC,0.885,0.985,0.885,5,5,father,TRUE,00365,444,14,1970
continue,s05087,F,BC,0.74,0.869,0.74,4,3,mother,TRUE,00313,399,14,1916
continue,s05088,F,BC,0.152,0.568,0.152,2,0,mother,TRUE,00392,469,14,1905
continue,s05089,F,BC,0.413,0.611,0.413,3,2,mother,FALSE,00320,384,28,1909
continue,s05090,F,BC,0.474,0.255,0.474,0,6,mother,TRUE,00351,251,100,1924
continue,s05091,F,BC,0.757,0.481,0.757,1,6,mother,TRUE,00362,397,5,1950
continue,s05092,F,BC,0.646,0.804,0.646,8,0,mother,TRUE,00305,354,86,1986
continue,s05093,F,BC,0.73,0.554,0.73,6,3,mother,TRUE,00315,280,1,1923
drop,s05094,F,BC,0.697,0.947,0.697,6,3,mother,TRUE,00351,251,100,1924
continue,s05095,F,BC,0.275,0.429,0.275,4,6,mother,TRUE,00333,335,43,1916
continue,s05096,F,BC,0.531,0.564,0.531,5,3,mother,FALSE,00330,125,43,1959
continue,s05097,F,OC,0.935,0.734,0.935,8,5,mother,TRUE,00327,251,18,1984
continue,s05098,F,BC,0.447,0.45,0.447,0,4,mother,TRUE,00379,95,15,1981
continue,s05099,F,BC,0.444,0.559,0.444,1,0,mother,TRUE,00343,353,15,1957
continue,s05100,F,SC,0.794,0.667,0.794,4,6,mother,TRUE,00321,35,1,1983
continue,s05101,F,OC,0.737,0.649,0.737,8,5,father,TRUE,00331,516,15,1996
continue,s05102,F,SC,0.631,0.6,0.631,3,6,father,TRUE,00318,54,17,1867
continue,s05103,F,ST,0.594,0.532,0.594,2,9,mother,TRUE,00344,220,71,1910
continue,s05104,F,BC,0.236,0.464,0.236,4,7,father,TRUE,00326,177,17,1986
continue,s05105,F,BC,0.737,0.836,0.737,2,6,father,TRUE,00362,397,5,1950
continue,s05106,F,BC,0.778,0.747,0.778,9,9,mother,TRUE,00353,359,8,1986
continue,s05107,F,SC,0.386,0.632,0.386,9,0,mother,TRUE,00384,190,14,1996
continue,s05108,F,SC,0.61,0.81,0.61,5,6,mother,TRUE,00355,96,1,1966
continue,s05109,F,BC,0.674,0.567,0.674,4,12,father,TRUE,00397,221,15,1915
continue,s05110,F,OC,0.494,0.5,0.494,6,8,mother,TRUE,00310,262,28,1985
continue,s05111,F,SC,0.422,0.436,0.422,1,6,mother,FALSE,00382,470,71,1896
continue,s05112,F,SC,0.068,0.31,0.068,3,9,mother,TRUE,00368,240,15,1893
continue,s05113,F,BC,0.212,0.601,0.212,1,4,mother,FALSE,00382,470,71,1896
continue,s05114,F,SC,0.332,0.289,0.332,5,10,mother,TRUE,00353,359,8,1986
continue,s05115,F,BC,0.511,0.551,0.511,1,5,mother,TRUE,00307,177,15,1926
continue,s05116,F,SC,0.592,0.891,0.592,3,7,mother,FALSE,00337,185,15,1975
continue,s05117,F,SC,0.274,0.24,0.274,0,7,mother,FALSE,00365,444,14,1970
continue,s05118,F,BC,0.404,0.608,0.404,6,9,mother,TRUE,00324,170,31,1949
continue,s05119,F,BC,0.37,0.753,0.37,2,4,mother,TRUE,00310,262,28,1985
continue,s05120,F,SC,0.186,0.51,0.186,6,4,other,TRUE,00313,399,14,1916
continue,s05121,F,SC,0.236,0.56,0.236,7,0,mother,TRUE,00362,397,5,1950
continue,s05122,F,OC,1.002,0.92,1.002,2,4,mother,TRUE,00310,262,28,1985
continue,s05123,F,BC,0.194,0.508,0.194,4,9,mother,TRUE,00351,251,100,1924
continue,s05124,F,BC,0.504,0.575,0.504,4,5,mother,TRUE,00344,220,71,1910
continue,s05125,F,BC,0.79,0.818,0.79,4,5,father,TRUE,00391,161,14,1984
continue,s05126,F,OC,0.703,0.814,0.703,1,0,mother,TRUE,00394,122,15,1889
continue,s05127,F,BC,0.114,0.444,0.114,2,7,mother,TRUE,00334,571,61,1924
continue,s05128,F,SC,0.481,0.754,0.481,2,7,mother,TRUE,00337,185,15,1975
continue,s05129,F,OC,0.642,0.901,0.642,5,10,father,TRUE,00341,430,44,1959
continue,s05130,F,SC,0.885,0.745,0.885,4,3,father,TRUE,00305,354,86,1986
continue,s05131,F,BC,0.448,0.581,0.448,1,10,father,TRUE,00305,354,86,1986
continue,s05132,F,BC,0.523,0.594,0.523,0,7,mother,TRUE,00333,335,43,1916
continue,s05133,F,BC,0.578,0.728,0.578,0,10,mother,TRUE,00315,280,1,1923
continue,s05134,F,ST,0.522,0.568,0.522,5,6,mother,FALSE,00315,280,1,1923
continue,s05135,F,BC,0.143,0.517,0.143,4,7,other,TRUE,00300,198,28,1913
continue,s05136,F,BC,0.772,0.646,0.772,5,3,mother,TRUE,00389,299,1,1921
continue,s05137,F,BC,0.353,0.57,0.353,5,4,other,TRUE,00343,353,15,1957
continue,s05138,F,BC,0.346,0.296,0.346,2,1,other,FALSE,00352,177,28,1905
continue,s05139,F,BC,0.354,0.578,0.354,1,5,other,TRUE,00359,305,44,1915
continue,s05140,F,SC,0.418,0.496,0.418,2,6,other,TRUE,00359,305,44,1915
continue,s05141,F,BC,0.266,0.623,0.266,7,6,other,TRUE,00334,571,61,1924
continue,s05142,M,BC,0.521,0.401,0.521,4,8,mother,TRUE,00334,571,61,1924
continue,s05143,M,BC,0.357,0.227,0.357,2,7,mother,FALSE,00360,273,2,1995
continue,s05144,M,BC,0.172,0.42,0.172,8,10,mother,FALSE,00372,99,14,1956
continue,s05145,M,SC,0.851,0.584,0.851,3,0,mother,TRUE,00320,384,28,1909
continue,s05146,M,BC,0.674,0.46,0.674,0,2,father,TRUE,00353,359,8,1986
continue,s05147,M,SC,0.782,0.713,0.782,2,5,other,TRUE,00367,128,14,1969
continue,s05148,M,SC,0.951,0.704,0.951,8,4,mother,TRUE,00317,28,2,1872
continue,s05149,M,BC,0.547,0.537,0.547,2,6,mother,TRUE,00362,397,5,1950
continue,s05150,M,BC,0.646,0.544,0.646,4,3,mother,TRUE,00362,397,5,1950
continue,s05151,M,BC,0.391,0.451,0.391,5,0,father,TRUE,00392,469,14,1905
continue,s05152,M,SC,0.745,0.645,0.745,4,3,father,TRUE,00323,344,28,1961
continue,s05153,M,BC,0.463,0.374,0.463,6,6,mother,TRUE,00362,397,5,1950
continue,s05154,M,BC,0.562,0.53,0.562,8,5,father,TRUE,00382,470,71,1896
continue,s05155,M,SC,0.83,0.567,0.83,0,0,mother,TRUE,00304,390,28,1914
continue,s05156,M,BC,0.788,0.655,0.788,8,9,father,TRUE,00338,145,2,1929
continue,s05157,M,SC,0.576,0.347,0.576,4,10,father,TRUE,00354,184,NA,NA
continue,s05158,M,BC,0.543,0.537,0.543,6,2,mother,TRUE,00391,161,14,1984
continue,s05159,M,SC,0.847,0.456,0.847,5,7,mother,TRUE,00352,177,28,1905
continue,s05160,M,SC,0.472,0.384,0.472,4,5,mother,TRUE,00337,185,15,1975
continue,s05161,M,BC,0.73,0.502,0.73,6,3,mother,FALSE,00334,571,61,1924
continue,s05162,M,BC,0.485,0.52,0.485,1,8,mother,TRUE,00300,198,28,1913
continue,s05163,M,SC,0.474,0.494,0.474,6,10,mother,TRUE,00308,38,1,1799
continue,s05164,M,OC,0.774,0.691,0.774,4,2,mother,TRUE,00365,444,14,1970
continue,s05165,M,SC,0.257,0.383,0.257,7,7,father,TRUE,00341,430,44,1959
continue,s05166,M,BC,0.72,0.513,0.72,1,0,father,TRUE,00341,430,44,1959
continue,s05167,M,SC,0.503,0.403,0.503,8,3,mother,TRUE,00392,469,14,1905
continue,s05168,M,ST,0.655,0.841,0.655,3,6,father,FALSE,00382,470,71,1896
continue,s05169,M,SC,0.584,0.552,0.584,3,9,mother,TRUE,00365,444,14,1970
continue,s05170,M,ST,0.838,0.759,0.838,4,2,mother,TRUE,00379,95,15,1981
continue,s05171,M,ST,0.999,0.745,0.999,2,6,father,TRUE,00368,240,15,1893
continue,s05172,M,SC,0.763,0.72,0.763,6,6,mother,FALSE,00313,399,14,1916
drop,s05173,M,BC,0.438,0.495,0.438,5,3,mother,TRUE,00310,262,28,1985
continue,s05174,M,BC,0.895,0.807,0.895,0,6,mother,TRUE,00378,121,28,1971
continue,s05175,M,OC,0.565,0.397,0.565,4,3,father,FALSE,00369,387,28,1921
continue,s05176,M,BC,1.03,0.597,1.03,3,4,mother,TRUE,00341,430,44,1959
continue,s05177,M,BC,0.401,0.599,0.401,6,3,father,TRUE,00305,354,86,1986
continue,s05178,M,BC,0.632,0.561,0.632,2,6,mother,TRUE,00312,257,14,1946
continue,s05179,M,BC,0.762,0.562,0.762,3,4,mother,TRUE,00385,193,2,1989
continue,s05180,M,OC,0.453,0.535,0.453,5,5,mother,TRUE,00337,185,15,1975
continue,s05181,M,BC,0.913,0.937,0.913,6,12,mother,TRUE,00329,275,60,1914
continue,s05182,M,OC,0.833,0.666,0.833,1,4,mother,TRUE,00315,280,1,1923
continue,s05183,M,BC,0.736,0.662,0.736,4,6,father,TRUE,00315,280,1,1923
continue,s05184,M,BC,0.666,0.468,0.666,7,6,other,TRUE,00365,444,14,1970
continue,s05185,M,BC,0.682,0.622,0.682,5,5,mother,TRUE,00361,287,15,1992
continue,s05186,M,BC,0.354,0.66,0.354,8,0,mother,FALSE,00386,220,30,1847
continue,s05187,M,BC,0.781,0.474,0.781,7,7,mother,FALSE,00306,72,1,1934
continue,s05188,M,BC,0.343,0.434,0.343,2,2,mother,TRUE,00367,128,14,1969
continue,s05189,M,BC,0.388,0.355,0.388,4,5,mother,TRUE,00305,354,86,1986
drop,s05190,M,OC,0.646,0.317,0.646,6,7,mother,TRUE,00357,57,14,1929
continue,s05191,M,BC,0.89,0.644,0.89,2,2,mother,TRUE,00337,185,15,1975
continue,s05192,M,SC,0.335,0.483,0.335,5,2,father,TRUE,00361,287,15,1992
continue,s05193,M,SC,0.733,0.448,0.733,1,7,mother,TRUE,00382,470,71,1896
continue,s05194,M,OC,0.709,0.921,0.709,4,4,mother,TRUE,00313,399,14,1916
continue,s05195,M,BC,0.632,0.445,0.632,9,4,mother,TRUE,00346,87,30,1967
continue,s05196,M,BC,0.966,0.806,0.966,4,10,mother,TRUE,00334,571,61,1924
continue,s05197,M,OC,0.409,0.399,0.409,6,8,father,TRUE,00339,245,14,1840
continue,s05198,M,SC,0.505,0.409,0.505,6,8,father,TRUE,00384,190,14,1996
continue,s05199,M,SC,0.655,0.553,0.655,3,0,father,TRUE,00323,344,28,1961
continue,s05200,M,BC,0.674,0.614,0.674,5,6,mother,FALSE,00392,469,14,1905
drop,s05201,M,BC,0.725,0.556,0.725,6,2,father,TRUE,00341,430,44,1959
continue,s05202,M,OC,0.454,0.611,0.454,5,5,mother,TRUE,00343,353,15,1957
continue,s05203,M,SC,0.707,0.571,0.707,4,4,mother,TRUE,00383,132,14,1996
continue,s05204,M,OC,0.434,0.353,0.434,2,3,other,TRUE,00365,444,14,1970
continue,s05205,M,SC,0.547,0.288,0.547,4,6,father,TRUE,00397,221,15,1915
continue,s05206,M,BC,0.768,0.755,0.768,4,7,father,TRUE,00343,353,15,1957
continue,s05207,M,OC,0.862,0.67,0.862,2,4,father,TRUE,00307,177,15,1926
continue,s05208,M,SC,0.865,0.435,0.865,5,8,mixed,TRUE,00398,116,1,1995
continue,s05209,M,BC,0.534,0.611,0.534,5,6,mixed,TRUE,00310,262,28,1985
continue,s05210,M,BC,0.609,0.542,0.609,5,11,mother,TRUE,00388,155,1,1910
continue,s05211,M,BC,0.174,0.402,0.174,2,10,father,TRUE,00334,571,61,1924
continue,s05212,M,SC,0.896,0.827,0.896,9,4,mother,TRUE,00307,177,15,1926
continue,s05213,M,BC,0.376,0.615,0.376,8,6,mother,TRUE,00355,96,1,1966
continue,s05214,M,BC,0.571,0.463,0.571,4,10,mother,TRUE,00302,191,2,1948
continue,s05215,M,BC,0.739,0.625,0.739,5,6,father,TRUE,00313,399,14,1916
continue,s05216,M,ST,0.679,0.714,0.679,4,4,mother,TRUE,00334,571,61,1924
continue,s05217,M,SC,0.628,0.626,0.628,2,5,mother,TRUE,00385,193,2,1989
continue,s05218,M,ST,0.349,0.302,0.349,1,0,mother,TRUE,00336,206,17,1940
continue,s05219,M,BC,0.808,0.855,0.808,6,6,father,TRUE,00337,185,15,1975
continue,s05220,M,OC,0.214,0.684,0.214,4,3,mixed,TRUE,00343,353,15,1957
continue,s05221,M,BC,0.137,0.214,0.137,4,4,mother,TRUE,00336,206,17,1940
continue,s05222,M,BC,0.794,0.732,0.794,3,5,father,TRUE,00313,399,14,1916
continue,s05223,M,BC,0.763,0.318,0.763,4,0,mixed,TRUE,00339,245,14,1840
continue,s05224,M,SC,0.523,0.522,0.523,7,10,mother,TRUE,00364,147,28,1911
continue,s05225,M,SC,0.564,0.602,0.564,5,11,mother,TRUE,00312,257,14,1946
continue,s05226,M,BC,0.25,0.363,0.25,1,3,mother,FALSE,00392,469,14,1905
continue,s05227,M,BC,0.321,0.38,0.321,5,0,mother,TRUE,00355,96,1,1966
continue,s05228,M,BC,0.638,0.309,0.638,6,6,mother,FALSE,00385,193,2,1989
continue,s05229,M,BC,0.628,0.33,0.628,7,4,mother,FALSE,00313,399,14,1916
continue,s05230,M,SC,0.764,0.722,0.764,5,4,mother,TRUE,00318,54,17,1867
continue,s05231,M,BC,0.558,0.573,0.558,1,4,mother,TRUE,00320,384,28,1909
continue,s05232,M,BC,0.711,0.456,0.711,5,3,mother,TRUE,00353,359,8,1986
continue,s05233,M,BC,0.462,0.45,0.462,0,10,father,TRUE,00328,356,14,1943
continue,s05234,M,BC,0.926,0.65,0.926,0,5,mother,TRUE,00369,387,28,1921
continue,s05235,M,OC,0.405,0.512,0.405,5,0,father,TRUE,00361,287,15,1992
continue,s05236,M,BC,0.8,0.513,0.8,6,4,mother,TRUE,00386,220,30,1847
continue,s05237,M,BC,0.142,0.687,0.142,4,4,mother,TRUE,00361,287,15,1992
continue,s05238,M,OC,0.737,0.889,0.737,2,5,mother,FALSE,00331,516,15,1996
continue,s05239,M,BC,0.372,0.302,0.372,1,0,mother,FALSE,00385,193,2,1989
continue,s05240,M,OC,0.32,0.462,0.32,1,6,father,TRUE,00363,148,28,1895
continue,s05241,M,BC,0.517,0.506,0.517,1,9,mother,TRUE,00326,177,17,1986
continue,s05242,M,SC,0.602,0.642,0.602,0,6,father,TRUE,00391,161,14,1984
continue,s05243,M,BC,0.538,0.468,0.538,4,8,mother,TRUE,00327,251,18,1984
continue,s05244,M,BC,0.104,0.335,0.104,2,7,mother,FALSE,00329,275,60,1914
continue,s05245,M,SC,0.502,0.573,0.502,2,4,mother,TRUE,00312,257,14,1946
continue,s05246,M,OC,0.296,0.26,0.296,6,6,mother,FALSE,00390,140,14,1972
