"Age","Attrition","BusinessTravel","DailyRate","Department","DistanceFromHome","Education","EducationField","EmployeeCount","EnvironmentSatisfaction","Gender","HourlyRate","JobInvolvement","JobLevel","JobRole","JobSatisfaction","MaritalStatus","MonthlyIncome","MonthlyRate","NumCompaniesWorked","OverTime","PercentSalaryHike","PerformanceRating","RelationshipSatisfaction","StandardHours","StockOptionLevel","TotalWorkingYears","TrainingTimesLastYear","WorkLifeBalance","YearsAtCompany","YearsInCurrentRole","YearsSinceLastPromotion","YearsWithCurrManager","Feedback"
36,"No","Travel_Rarely",216,"Research & Development",6,"College","Medical",1,2,"Male",84,3,2,"Manufacturing Director",2,"Divorced",4941,2819,6,"No",20,4,4,80,2,7,0,3,3,2,0,1,"1 Lots of smart people around 2 Technology knowledge is abound and is easily accessible 3 Job impact on the world is tremendous 4 Neat perks"
39,"No","Travel_Rarely",1329,"Sales",4,"Master","Life Sciences",1,4,"Female",47,2,2,"Sales Executive",3,"Married",5902,14590,4,"No",14,3,3,80,1,17,1,4,15,11,5,9,"It is a very free environment I am able to work freely and they give people here a lot of freedom at work I really am enjoying the experiences"
25,"No","Travel_Rarely",959,"Sales",28,"Bachelor","Life Sciences",1,1,"Male",41,2,2,"Sales Executive",3,"Married",8639,24835,2,"No",18,3,4,80,0,6,3,3,2,2,2,2,"Freedom of what to work on Lots of areas Engineers are highly respected Knowledge are shared across company Great infrastructure to minimize work burden"
30,"No","Travel_Rarely",1240,"Human Resources",9,"Bachelor","Human Resources",1,3,"Male",48,3,2,"Human Resources",4,"Married",6347,13982,0,"Yes",19,3,4,80,0,12,2,1,11,9,4,7,"A value placed upon moving fast and breaking things A true meritocracy culture As egalitarian a workforce as I have ever seen Probably the best engineering team on the planet Incredible benefits and pay"
45,"No","Travel_Rarely",1316,"Research & Development",29,"Bachelor","Medical",1,3,"Male",83,3,1,"Research Scientist",4,"Single",3452,9752,5,"No",13,3,2,80,0,9,2,2,6,5,0,3,"Great food great people The people are smart and sharp and it was a joy to work with them everyday"
38,"No","Travel_Rarely",364,"Research & Development",3,"Doctor","Technical Degree",1,4,"Female",32,3,2,"Research Scientist",3,"Single",4317,2302,3,"Yes",20,4,2,80,0,19,2,3,3,2,2,2,"Amazing benefits amazing people that make you grow and amazing work You really feel like what youre doing has an impact on the world"
30,"No","Travel_Rarely",438,"Research & Development",18,"Bachelor","Life Sciences",1,1,"Female",75,3,1,"Research Scientist",3,"Single",2632,23910,1,"No",14,3,3,80,0,5,4,2,5,4,0,4,"A great place to launch your career Many talented people are still working at Google although there has been a constant exodus of top talent A nice to place to network and learn"
32,"No","Travel_Frequently",689,"Sales",9,"College","Medical",1,4,"Male",35,1,2,"Sales Executive",4,"Divorced",4668,22812,0,"No",17,3,4,80,3,9,2,4,8,7,0,7,"Opportunity for big impact Fun people Can afford to do anything they decide to  its not a startup experience"
30,"No","Travel_Rarely",201,"Research & Development",5,"Bachelor","Technical Degree",1,4,"Female",84,3,1,"Research Scientist",1,"Divorced",3204,10415,5,"No",14,3,4,80,1,8,3,3,3,2,2,2,"Terrific people interesting and challenging problems to work on with amazing collaborators at every level high impact huge numbers of users wonderful work environment food space lack of bureaucracy awesome to be able to get help with whatever on a mailing list at practically any time of day or night"
30,"No","Travel_Rarely",1427,"Research & Development",2,"Others","Medical",1,2,"Male",35,2,1,"Laboratory Technician",4,"Single",2720,11162,0,"No",13,3,4,80,0,6,3,3,5,3,1,2,"Great place to work Great perks and people Very team oriented People are smart see con  and friendly Not political as far as I can tell Engineering focused which makes it feel like a meritocracy Again the perks are really amazing feel like the company really values me"
41,"No","Travel_Frequently",857,"Research & Development",10,"Bachelor","Life Sciences",1,4,"Male",91,2,4,"Manager",1,"Divorced",17181,12888,4,"No",13,3,2,80,1,21,2,2,7,6,7,7,"Its a great atmosphere in order to get a lot of interesting work done Lots of good smart friends around you"
41,"No","Travel_Rarely",933,"Research & Development",9,"Master","Life Sciences",1,3,"Male",94,3,1,"Laboratory Technician",1,"Married",2238,6961,2,"No",21,4,4,80,1,7,2,3,5,0,1,4,"Awesome food great salary wonderful coworkers Lots of room for a selfstarter to advance Promotion can be quite rapid if you are determined and this is your goal None of the costbenefit approach to IT that you see at a lot of other companies"
19,"No","Travel_Rarely",1181,"Research & Development",3,"Others","Medical",1,2,"Female",79,3,1,"Laboratory Technician",2,"Single",1483,16102,1,"No",14,3,4,80,0,1,3,3,1,0,0,0,"available food onsite very competitive salary good bonuses variety of projects clear communication w management smart people working there"
40,"No","Travel_Frequently",1395,"Research & Development",26,"Bachelor","Medical",1,2,"Female",54,3,2,"Research Scientist",2,"Divorced",5605,8504,1,"No",11,3,1,80,1,20,2,3,20,7,2,13,"Great perks worklife balance little hierarchy genuinely friendly coworkers great place to network and meet future entrepreneurs diverse workplace LGBT friendly open culture smart coworkers"
35,"No","Travel_Rarely",662,"Sales",1,"Doctor","Marketing",1,3,"Male",94,3,3,"Sales Executive",2,"Married",7295,11439,1,"No",13,3,1,80,2,10,3,3,10,8,0,6,"Very open communication from senior management all the way down to interns Vested interest in employees and personal development GoogleEDU Smartest  most creative people Ive met"
53,"No","Travel_Rarely",1436,"Sales",6,"College","Marketing",1,2,"Male",34,3,2,"Sales Representative",3,"Married",2306,16047,2,"Yes",20,4,4,80,1,13,3,1,7,7,4,5,"The company allowed me to achieve growth and a better willingness to learn I was able to advance from working within groups"
45,"No","Travel_Rarely",194,"Research & Development",9,"Bachelor","Life Sciences",1,2,"Male",60,3,2,"Laboratory Technician",2,"Divorced",2348,10901,8,"No",18,3,3,80,1,20,2,1,17,9,0,15,"Google Full Timers are very helpful in terms of meeting with interns to give advice Information is freely shared and the company is very transparent Great recruiting staff that are an awesome support system for interns Fun perks Sweet pay Opportunities to learn and network Surrounded by intelligent and savvy people"
32,"No","Travel_Frequently",967,"Sales",8,"Bachelor","Marketing",1,2,"Female",43,3,3,"Sales Executive",4,"Single",8998,15589,1,"No",14,3,4,80,0,9,2,3,9,8,3,7,"Really smart people great benefits amazing level of transparency and access people especially at the top are really committed to getting it right"
29,"No","Non-Travel",1496,"Research & Development",1,"Others","Technical Degree",1,4,"Male",41,3,2,"Manufacturing Director",3,"Married",4319,26283,1,"No",13,3,1,80,1,10,1,3,10,7,0,9,"Quality of individual hires strength of business free cash flow which funds perks and benefits less politics than other companies of a similar size"
51,"No","Travel_Rarely",1169,"Research & Development",7,"Master","Medical",1,2,"Male",34,2,2,"Manufacturing Director",3,"Married",6132,13983,2,"No",17,3,3,80,0,10,2,3,1,0,0,0,"High concentration of smart + great people Employees empowered to change the word in the good way Full compensation package base salary + bonus + stock + perks is great and not easy to beat IMO People who criticize it must have not done the math right andor are performing poorly"
58,"No","Travel_Rarely",1145,"Research & Development",9,"Bachelor","Medical",1,2,"Female",75,2,1,"Research Scientist",2,"Married",3346,11873,4,"Yes",20,4,2,80,1,9,3,2,1,0,0,0,"It is the best place for software engineers You can lean a lot from smart googlers Also meals are free"
40,"No","Travel_Rarely",630,"Sales",4,"Master","Marketing",1,3,"Male",67,2,3,"Sales Executive",4,"Married",10855,8552,7,"No",11,3,1,80,1,15,2,2,12,11,2,11,"Working with smart people daily amazing gourmet free food fantastic career growth opportunities within Google If you dont like the project youre working on you can transfer to a different project even to be a different type of engineer eg frontendbackendstorage I work with people whove worked on several projects at Google"
34,"No","Travel_Frequently",303,"Sales",2,"Master","Marketing",1,3,"Female",75,3,1,"Sales Representative",3,"Married",2231,11314,6,"No",18,3,4,80,1,6,3,3,4,3,1,2,"The best working environment I have ever seen Everyone is generally a team player everyone is very smart The leadership will make big bets to try to make things better for the user the internal transparency is rare and everyone shares information quite freely The benefits are industry leading and the relative youth of the company keeps it a remarkably fun place to work"
22,"No","Travel_Rarely",1256,"Research & Development",19,"Others","Medical",1,3,"Male",80,3,1,"Research Scientist",4,"Married",2323,11992,1,"No",24,4,1,80,2,2,6,3,2,2,2,2,"More than any other workplace Google trusts its employees Each engineer has access to almost the entire codebase and there is very little micromanaging"
27,"No","Non-Travel",691,"Research & Development",9,"Bachelor","Medical",1,4,"Male",57,3,1,"Research Scientist",2,"Divorced",2024,5970,6,"No",18,3,4,80,1,6,1,1,2,2,2,2,"For lack of a better way to say it Google is just a fun place to work There are a lot of different personalities and the attitude of the whole place is very relaxed The best thing however is that this doesnt detract from the drive that individual employees and the companys leadership have to create great products and really make life better for millions or billions of people"
28,"No","Travel_Rarely",440,"Research & Development",21,"Bachelor","Medical",1,3,"Male",42,3,1,"Research Scientist",4,"Married",2713,6672,1,"No",11,3,3,80,1,5,2,1,5,2,0,2,"Google has a fantastic engineering culture and an incredible practice of software development Everyone in the company has something valuable to offer and theres a lot to learn from the people and the organization"
57,"No","Travel_Rarely",334,"Research & Development",24,"College","Life Sciences",1,3,"Male",83,4,3,"Healthcare Representative",4,"Divorced",9439,23402,3,"Yes",16,3,2,80,1,12,2,1,5,3,1,4,"Great perks many of which are available for contract workers Wonderful communication from senior management about issues and new products Fun with lots going on"
27,"No","Non-Travel",1450,"Research & Development",3,"Bachelor","Medical",1,3,"Male",79,2,1,"Research Scientist",3,"Divorced",2566,25326,1,"Yes",15,3,4,80,1,1,2,2,1,1,0,1,"Sure from the outside people always talk about the awesome benefits and perks of Google and the fact that you are surrounded by one of the smartest people in the world but it really boils down to one thing this company really respect its employees and gives ownership to them"
50,"No","Travel_Rarely",1452,"Research & Development",11,"Bachelor","Life Sciences",1,3,"Female",53,3,5,"Manager",2,"Single",19926,17053,3,"No",15,3,2,80,0,21,5,3,5,4,4,4,"Incredible work environment fast pace interesting work topics interesting project employee involvement flat management structure good benefit incredible free food"
41,"No","Travel_Rarely",465,"Research & Development",14,"Bachelor","Life Sciences",1,1,"Male",56,3,1,"Research Scientist",3,"Divorced",2451,4609,4,"No",12,3,1,80,1,13,2,3,9,8,1,8,"it was really great to work at google Really friendly coworkers as well as supervisors made for an enjoyable experience"
30,"No","Travel_Rarely",1339,"Sales",5,"Bachelor","Life Sciences",1,2,"Female",41,3,3,"Sales Executive",4,"Married",9419,8053,2,"No",12,3,3,80,1,12,2,3,10,9,7,4,"So Many This is the best place to work if you are motivated Everyone you work with has so much talent Lazy people dont exist here"
38,"No","Travel_Rarely",702,"Sales",1,"Master","Life Sciences",1,1,"Female",59,2,2,"Sales Executive",4,"Single",8686,12930,4,"No",22,4,3,80,0,12,2,4,8,3,0,7,"Work with the best and brightest  in over a year Ive yet to meet anyone who isnt bright and highly competent Open culture and supportive management at all levels I had some recent challenges in my family life and was told by my manager to take whatever time I needed even if it was weeks Work on projects that seriously have the chance to change the world Great perks"
32,"No","Travel_Rarely",120,"Research & Development",6,"Doctor","Life Sciences",1,3,"Male",43,3,1,"Research Scientist",3,"Single",3038,12430,3,"No",20,4,1,80,0,8,2,3,5,4,1,4,"Fun projects Easy to have a big impact on the world"
27,"No","Travel_Rarely",1157,"Research & Development",17,"Bachelor","Technical Degree",1,3,"Male",51,3,1,"Research Scientist",2,"Married",3058,13364,0,"Yes",16,3,4,80,1,6,3,2,5,2,1,1,"Change the world great people to work with tremendous perks and respect for employees lots of opportunity to grow"
36,"No","Travel_Frequently",1480,"Research & Development",3,"College","Medical",1,4,"Male",30,3,1,"Laboratory Technician",2,"Single",2088,15062,4,"No",12,3,3,80,0,13,3,2,8,7,7,2,"Amazing smart fun and quirky colleagues Great brand name on your resume Open and transparent management The food of course"
30,"No","Non-Travel",111,"Research & Development",9,"Bachelor","Medical",1,3,"Male",66,3,2,"Laboratory Technician",1,"Divorced",3072,11012,1,"No",11,3,3,80,2,12,4,3,12,9,6,10,"I would say that the quality of my coworkers is very high My managers have all at least seemed to be concerned with my personal wellbeing There is always something new to learn here"
45,"No","Travel_Rarely",1268,"Sales",4,"College","Life Sciences",1,3,"Female",30,3,2,"Sales Executive",1,"Divorced",5006,6319,4,"Yes",11,3,1,80,1,9,3,4,5,4,0,3,"Work life balance Yes you got it You can find it at this high tech company They even have a mothers room for you to feed your little baby There was onsite washer and dryer An employee got transferred from NY to MV HQ and didnt got out for a month just living on Google campus A lot of young and bright minds to work with they will absolutely inspire you "
56,"No","Travel_Rarely",713,"Research & Development",8,"Bachelor","Life Sciences",1,3,"Female",67,3,1,"Research Scientist",1,"Divorced",4257,13939,4,"Yes",18,3,3,80,1,19,3,3,2,2,2,2,"Smart coworkers Great office locations Great benefits Interesting projects"
33,"No","Travel_Rarely",134,"Research & Development",2,"Bachelor","Life Sciences",1,3,"Male",90,3,1,"Research Scientist",4,"Single",2500,10515,0,"No",14,3,1,80,0,4,2,4,3,1,0,2,"Smart driven colleagues People are motivated to do good for the user and for society Treats employees well Lots of opportunities to try new things"
46,"No","Travel_Rarely",526,"Sales",1,"College","Marketing",1,2,"Female",92,3,3,"Sales Executive",1,"Divorced",10453,2137,1,"No",25,4,3,80,3,24,2,3,24,13,15,7,"Smart coworkers Unbeatable perks and benefits Good compensation Relevant work thats challenging Very numbers driven and results oriented encourages getting stuff done not siting around talking about what needs to be done"
38,"No","Travel_Rarely",1380,"Research & Development",9,"College","Life Sciences",1,3,"Female",75,3,1,"Laboratory Technician",4,"Single",2288,6319,1,"No",12,3,3,80,0,2,3,3,2,2,2,1,"Stability Lots of computing resources at your disposal Mature codebase Great colleagues Outstanding remuneration"
31,"No","Travel_Rarely",140,"Research & Development",12,"Others","Medical",1,3,"Female",95,3,1,"Research Scientist",4,"Married",3929,6984,8,"Yes",23,4,3,80,1,7,0,3,4,2,0,2,"Lots of autonomy Lots of product focus They take focus on the customer seriously Technology and engineerdriven culture where they aim to solve tough problems not a lot of gimmiky product work going on Everyone there is whipsmart and there isnt much politics"
34,"No","Travel_Rarely",629,"Research & Development",27,"College","Medical",1,4,"Female",95,3,1,"Research Scientist",2,"Single",2311,5711,2,"No",15,3,4,80,0,9,3,3,3,2,1,2,"You can make differences to life of people around the globe Its a philanthropic company You can have sense of pride"
50,"No","Travel_Rarely",328,"Research & Development",1,"Bachelor","Medical",1,3,"Male",86,2,1,"Laboratory Technician",3,"Married",3690,3425,2,"No",15,3,4,80,1,5,2,2,3,2,0,2,"Free breakfast lunch dinner massages weekly entertainment free drinks and snacks Game room Scooters"
53,"No","Travel_Rarely",1084,"Research & Development",13,"College","Medical",1,4,"Female",57,4,2,"Manufacturing Director",1,"Divorced",4450,26250,1,"No",11,3,3,80,2,5,3,3,4,2,1,3,"Intelligent colleagues opportunity for great impact on life quality of Google users great benefits"
33,"No","Travel_Rarely",931,"Research & Development",14,"Bachelor","Medical",1,4,"Female",72,3,1,"Research Scientist",2,"Married",2756,4673,1,"No",13,3,4,80,1,8,5,3,8,7,1,6,"Excellent salary  benefits  perks Super smart people Challenging projects You learn a TON working here"
40,"No","Travel_Rarely",989,"Research & Development",4,"Others","Medical",1,4,"Female",46,3,5,"Manager",3,"Married",19033,6499,1,"No",14,3,2,80,1,21,2,3,20,8,9,9,"Exciting to work for a company who values your ideas Very smart and talented group of people"
55,"No","Travel_Rarely",692,"Research & Development",14,"Master","Medical",1,3,"Male",61,4,5,"Research Director",2,"Single",18722,13339,8,"No",11,3,4,80,0,36,3,3,24,15,2,15,"Excellent work environment and coworkers Everyone is really open and sharing and it is a great atmosphere The company is also very open with everything that is going on"
34,"No","Travel_Frequently",1069,"Research & Development",2,"Others","Life Sciences",1,4,"Male",45,2,2,"Manufacturing Director",3,"Married",9547,14074,1,"No",17,3,3,80,0,10,2,2,10,9,1,9,"Integrated Product Engineering and UX teams Focus is on the user and improving product Incredibly sophisticated software development practices and agility Transparency of the organization Really smart leadership team Very comprehensive benefits  perks Strong education program"
51,"No","Travel_Rarely",313,"Research & Development",3,"Bachelor","Medical",1,4,"Female",98,3,4,"Healthcare Representative",2,"Single",13734,7192,3,"No",18,3,3,80,0,21,6,3,7,7,1,0,"Everyone in engineering is very smart and nice As a nerd I feel right at home Excellent benefits Amazing infrastructure to do your job Interesting problems"
52,"No","Travel_Rarely",699,"Research & Development",1,"Master","Life Sciences",1,3,"Male",65,2,5,"Manager",3,"Married",19999,5678,0,"No",14,3,1,80,1,34,5,3,33,18,11,9,"Highest pay around Free meals  food transportation housing gym access car sharing  Access to the brightest minds in the industry Chance to work on real production code that will be used while you still work thereA169"
27,"No","Travel_Rarely",894,"Research & Development",9,"Bachelor","Medical",1,4,"Female",99,3,1,"Research Scientist",2,"Single",2279,11781,1,"No",16,3,4,80,0,7,2,2,7,7,0,3,"The perks are clearly a huge win but the best part of working at google is the autonomy you are given to to real impactful work that is seen by millions of people"
43,"No","Non-Travel",1344,"Research & Development",7,"Bachelor","Medical",1,4,"Male",37,4,1,"Research Scientist",4,"Divorced",2089,5228,4,"No",14,3,4,80,3,7,3,4,5,4,2,2,"Great crowd knowledge base infrastructure amazing benefits minimal bureaucracy transparency company genuinely cares about their employees happiness and the result is a very happy and fun place to work at"
45,"No","Non-Travel",1195,"Research & Development",2,"College","Medical",1,1,"Male",65,2,4,"Manager",4,"Married",16792,20462,9,"No",23,4,4,80,1,22,1,3,20,8,11,8,"Amazing colleagues at the top of their game who are surprisingly unpretentious and approachable Unfathomable benefits  food gifts freedom A peek behind the curtain Openness trust and a really unique corporate culture"
37,"No","Travel_Rarely",290,"Research & Development",21,"Bachelor","Life Sciences",1,2,"Male",65,4,1,"Research Scientist",1,"Married",3564,22977,1,"Yes",12,3,1,80,1,8,3,2,8,7,1,7,"Lots of perks and great work life balance Google really cares about their employees and their products and it shows Its great to be a part of such amazing innovation and having the opportunity to work with such great minds"
35,"No","Travel_Frequently",138,"Research & Development",2,"Bachelor","Medical",1,2,"Female",37,3,2,"Laboratory Technician",2,"Single",4425,15986,5,"No",11,3,4,80,0,10,5,3,6,2,1,2,"Great perksbenefits Opportunities to do impactful work learn a lot and try different things out all the time Fun casual work environment Working alongside super smart people solving problems that effect billions of people worldwide"
42,"No","Non-Travel",926,"Research & Development",21,"College","Medical",1,3,"Female",36,3,2,"Manufacturing Director",3,"Divorced",5265,16439,2,"No",16,3,2,80,1,11,5,3,5,3,0,2,"Incredibly smart dedicated people working on amazing problems Out of this world perks if that excites you Free food snacks dogfriendly massages etc you name it And the opportunity to work with the most powerful data tools in the world"
38,"No","Travel_Rarely",1261,"Research & Development",2,"Master","Life Sciences",1,4,"Male",88,3,2,"Manufacturing Director",3,"Married",6553,7259,9,"No",14,3,2,80,0,14,3,3,1,0,0,0,"Google has a lot of smart and nice people to work with People work collaboratively The company has many great benefits It just feels like the company has hired the best people to work on all the benefits 401k fitness food etc etc as well"
38,"No","Travel_Rarely",1084,"Research & Development",29,"Bachelor","Technical Degree",1,4,"Male",54,3,2,"Manufacturing Director",4,"Married",6261,4185,3,"No",18,3,1,80,1,9,3,1,7,7,1,7,"Google offer an amazing work environment with unbelievable perks People around you are very smart  Whatever you do in Google you are probably working on or supporting an innovative product and having a quite large impact  Things move at a very fast pace The speed is really one of a startup Organized chaos is how I should describe Google A chaos that magically works"
27,"No","Travel_Frequently",472,"Research & Development",1,"Others","Technical Degree",1,3,"Male",60,2,2,"Manufacturing Director",1,"Married",4298,9679,5,"No",19,3,3,80,1,6,1,3,2,2,2,0,"Great worklife balance No two roles are the same theres so much flexibility in creating the role you want Senior managers are awesome really open and receptive to ideas"
49,"No","Non-Travel",1002,"Research & Development",18,"Master","Life Sciences",1,4,"Male",92,3,2,"Manufacturing Director",4,"Divorced",6804,23793,1,"Yes",15,3,1,80,2,7,0,3,7,7,1,7,"awesome benefits great salary options everyones nice intellectual free food very casual"
34,"No","Travel_Frequently",878,"Research & Development",10,"Master","Medical",1,4,"Male",43,3,1,"Research Scientist",3,"Divorced",3815,5972,1,"Yes",17,3,4,80,1,5,4,4,5,3,2,0,"Some of industrys best professionals work here and are open to share their knowledge and experience Best place to sharpen your skills"
40,"No","Travel_Rarely",905,"Research & Development",19,"College","Medical",1,3,"Male",99,3,2,"Laboratory Technician",4,"Married",2741,16523,8,"Yes",15,3,3,80,1,15,2,4,7,2,3,7,"Smart driven colleagues near limitless resources ideal work environment excellent worklife balance international work opportunities opportunities for growth more intellectual than career"
22,"No","Travel_Rarely",1136,"Research & Development",5,"Bachelor","Life Sciences",1,4,"Male",60,4,1,"Research Scientist",2,"Divorced",2328,12392,1,"Yes",16,3,1,80,1,4,2,2,4,2,2,2,"Great place to work Compensations and benefits are very generous Interesting projects to work on Easy to change groups at least in engineering Easy to relocate to a new office if you find projects related to your interest there Get to work with some really smart people"
36,"No","Travel_Frequently",635,"Research & Development",18,"Others","Medical",1,2,"Female",73,3,1,"Laboratory Technician",4,"Single",2153,7703,1,"No",13,3,1,80,0,8,2,3,8,1,1,7,"The people the culture and the constant innovation  makes coming to work everyday a fun routine"
40,"No","Non-Travel",1151,"Research & Development",9,"Doctor","Life Sciences",1,4,"Male",63,2,2,"Healthcare Representative",4,"Married",4876,14242,9,"No",14,3,4,80,1,5,5,1,3,2,0,2,"The company is willing to bet on risky projects Projects have a worldwide visibility Fun people fun environment Amazingly smart coworkers"
46,"No","Travel_Rarely",644,"Research & Development",1,"Master","Medical",1,4,"Male",97,3,3,"Healthcare Representative",1,"Divorced",9396,12368,7,"No",16,3,3,80,1,17,3,3,4,2,0,3,"Paybenefits colleagues feel of changing the world not having to explain to mom who I work for free lunches dogs at work career prospects good smart people"
30,"No","Non-Travel",829,"Research & Development",1,"Others","Life Sciences",1,3,"Male",88,2,3,"Manufacturing Director",3,"Single",8474,20925,1,"No",22,4,3,80,0,12,2,3,11,8,5,8,"it has being the best job in my life with a great team who are a great support in all areas of my life The best work experience ever"
27,"No","Travel_Frequently",1242,"Sales",20,"Bachelor","Life Sciences",1,4,"Female",90,3,2,"Sales Executive",3,"Single",9981,12916,1,"No",14,3,4,80,0,7,2,3,7,7,0,7,"Great benefits Smart coworkers Inspiring company I left Google for two years to get an MBA and recently rejoined the company Ive had exposure to other companies and they just dont compare"
51,"No","Travel_Rarely",1469,"Research & Development",8,"Master","Life Sciences",1,2,"Male",81,2,3,"Research Director",2,"Married",12490,15736,5,"No",16,3,4,80,2,16,5,1,10,9,4,7,"Excellent people great peers overall good managers Plentiful tools competitive pay unbeatable benefits and perks"
41,"No","Travel_Rarely",896,"Sales",6,"Bachelor","Life Sciences",1,4,"Female",75,3,3,"Manager",4,"Single",13591,14674,3,"Yes",18,3,3,80,0,16,3,3,1,0,0,0,"Its a meritocracy of ideas I had the great fortune of proposing and executing on many rewarding projects If you have an idea and it makes business sense you will get the green light here Its amazing"
45,"No","Non-Travel",1052,"Sales",6,"Bachelor","Medical",1,4,"Female",57,2,3,"Sales Executive",4,"Single",8865,16840,6,"No",12,3,4,80,0,23,2,3,19,7,12,8,"i like working here lots of interesting project friendly and helpful colleagues and free food"
54,"No","Travel_Rarely",1147,"Sales",3,"Bachelor","Marketing",1,4,"Female",52,3,2,"Sales Executive",1,"Married",5940,17011,2,"No",14,3,4,80,1,16,4,3,6,2,0,5,"Free Food Young People Laid back atmosphere Dont feel like you are being micromanaged"
36,"No","Travel_Rarely",1396,"Research & Development",5,"College","Life Sciences",1,4,"Male",62,3,2,"Laboratory Technician",2,"Single",5914,9945,8,"No",16,3,4,80,0,16,3,4,13,11,3,7,"Good location good salary and good food I like the company and the location The atmosphere is nice there The interview is competitive I do not know how many words to input"
33,"No","Travel_Rarely",147,"Research & Development",4,"Master","Medical",1,3,"Female",47,2,1,"Research Scientist",2,"Married",2622,13248,6,"No",21,4,4,80,0,7,3,3,3,2,1,1,"Awesome work life balance Super smart people great culture They make the tools you need to success super accessible info and hardware"
37,"No","Travel_Frequently",663,"Research & Development",11,"Bachelor","Other",1,2,"Male",47,3,3,"Research Director",4,"Divorced",12185,10056,1,"Yes",14,3,3,80,3,10,1,3,10,8,0,7,"Great people and culture You have the autonomy to follow your interests and build your own career path"
38,"No","Travel_Rarely",119,"Sales",3,"Bachelor","Life Sciences",1,1,"Male",76,3,3,"Sales Executive",3,"Divorced",10609,9647,0,"No",12,3,3,80,2,17,6,2,16,10,5,13,"great treatment of employees amazing culure smarthardworkingdedicated employees a chance to make a big impact"
31,"No","Non-Travel",979,"Research & Development",1,"Master","Medical",1,3,"Male",90,1,2,"Manufacturing Director",3,"Married",4345,4381,0,"No",12,3,4,80,1,6,2,3,5,4,1,4,"I doubt there is a company that treats any of their employees as well as Google does As an employee you really feel like the company shares wealth among all their employees The work you do here is high impact and theyre very open to letting you figure out new ways to do things"
59,"No","Travel_Rarely",142,"Research & Development",3,"Bachelor","Life Sciences",1,3,"Male",70,2,1,"Research Scientist",4,"Married",2177,8456,3,"No",17,3,1,80,1,7,6,3,1,0,0,0,"Well you dont have to work at Software Engineer III you could work as Sr Software Engineer and get even more interesting projects and influence on how they go"
37,"No","Travel_Frequently",319,"Sales",4,"Master","Marketing",1,1,"Male",41,3,1,"Sales Representative",4,"Divorced",2793,2539,4,"No",17,3,3,80,1,13,2,3,9,8,5,8,"great salary and benefits health insurance for all and the ammenities around the company are suburb great work life balance"
29,"No","Travel_Frequently",1413,"Sales",1,"Others","Medical",1,2,"Female",42,3,3,"Sales Executive",4,"Married",7918,6599,1,"No",14,3,4,80,1,11,5,3,11,10,4,1,"Working on products that have a global impact Changing the world Intelligent and diverse coworkers Amazing internal resources Exciting office spaces They really care about you as a person and want you to succeed both inside and outside the office"
35,"No","Travel_Frequently",944,"Sales",1,"Bachelor","Marketing",1,3,"Female",92,3,3,"Sales Executive",3,"Single",8789,9096,1,"No",14,3,1,80,0,10,3,4,10,7,0,8,"Zero politics awesome products open and supportive culture Getting to play with the internal infrastructure is amazing Many things still happen at a grassroots level so you can really help shape the company and its products Employees are encouraged to openly question and debate if the company is doing the right thing In my group management is almost non existent which I think is a good thing "
52,"No","Travel_Rarely",1323,"Research & Development",2,"Bachelor","Life Sciences",1,3,"Female",89,2,1,"Laboratory Technician",4,"Single",3212,3300,7,"No",15,3,2,80,0,6,3,2,2,2,2,2,"It is the best for programmer you can learn a lot from other excellent people So strongly recommend google it is worth for working and paying"
42,"No","Travel_Rarely",532,"Research & Development",4,"College","Technical Degree",1,3,"Male",58,3,5,"Manager",4,"Married",19232,4933,1,"No",11,3,4,80,0,22,3,3,22,17,11,15,"Working at Google is simply awesome The cultural values are great and I can fully identify myself with the companies visions The people here are all really smart and always try to push the envelope of whats possible"
59,"No","Travel_Rarely",818,"Human Resources",6,"College","Medical",1,2,"Male",52,3,1,"Human Resources",3,"Married",2267,25657,8,"No",17,3,4,80,0,7,2,2,2,2,2,2,"Great perks something new always happening easy internal mobility smart coworkers great benefits tuition reimbursement"
50,"No","Travel_Rarely",854,"Sales",1,"Master","Medical",1,4,"Female",68,3,5,"Manager",4,"Divorced",19517,24118,3,"No",11,3,3,80,1,32,3,2,7,0,0,6,"Flexibility free breakfast lunch and dinner Fun environment Great working culture Smart coworkers Good room for advancement"
43,"No","Travel_Rarely",1034,"Sales",16,"Bachelor","Marketing",1,4,"Female",80,3,4,"Manager",4,"Married",16064,7744,5,"Yes",22,4,3,80,1,22,3,3,17,13,1,9,"The only place Ive ever worked where Ive been criticized for not thinking big enough Really smart people A great place to incubate ideas You are constantly pushed I worked and launched a wide variety of products Google is also big enough that its difficult to get bored  there are always interesting projects to get involved with"
52,"No","Non-Travel",771,"Sales",2,"Master","Life Sciences",1,1,"Male",79,2,5,"Manager",3,"Single",19068,21030,1,"Yes",18,3,4,80,0,33,2,4,33,7,15,12,"In order of importance  1 A strong culture of creativity innovation and avoiding unnecessary hierarchy red tape and inertia  2 Intellectually stimulating work Even projects that sound boring at first become interesting when dealing with the challenges of doing them at Google scale  3 Great perks"
32,"No","Travel_Rarely",1401,"Sales",4,"College","Life Sciences",1,3,"Female",56,3,1,"Sales Representative",2,"Married",3931,20990,2,"No",11,3,1,80,1,6,5,3,4,3,1,2,"Name recognition excellent benefits develop tech skills internal mobility additional responsibility feeling of importance and challenge"
